        annee        mois     pluie
        1950           1      16.6
        1950           2      68.9
        1950           3      31.8
        1950           4     107.1
        1950           5      60.3
        1950           6     204.8
        1950           7      54.9
        1950           8      97.8
        1950           9      48.0
        1950          10     157.0
        1950          11     100.4
        1950          12      92.6
        1951           1      74.6
        1951           2      75.0
        1951           3      47.9
        1951           4     155.9
        1951           5     109.2
        1951           6      99.1
        1951           7     158.6
        1951           8     238.3
        1951           9      15.5
        1951          10      99.4
        1951          11     128.0
        1951          12      58.1
        1952           1      45.0
        1952           2     136.8
        1952           3      36.2
        1952           4      66.2
        1952           5     102.8
        1952           6     154.4
        1952           7      97.3
        1952           8     168.2
        1952           9      97.6
        1952          10     100.8
        1952          11     230.3
        1952          12      97.3
        1953           1     120.0
        1953           2      70.0
        1953           3      65.2
        1953           4     292.9
        1953           5     201.9
        1953           6     203.0
        1953           7     223.9
        1953           8     243.0
        1953           9      49.0
        1953          10      88.6
        1953          11      44.2
        1953          12      63.1
        1954           1       8.9
        1954           2      89.7
        1954           3     291.2
        1954           4     111.1
        1954           5     242.5
        1954           6      98.8
        1954           7     130.0
        1954           8     131.4
        1954           9      92.4
        1954          10      56.1
        1954          11      41.8
        1954          12     148.2
        1955           1      46.9
        1955           2     112.7
        1955           3     137.9
        1955           4      63.3
        1955           5     121.8
        1955           6     168.9
        1955           7     109.9
        1955           8      89.6
        1955           9     111.3
        1955          10     151.0
        1955          11     114.9
        1955          12      84.9
        1956           1      97.7
        1956           2     135.0
        1956           3      36.0
        1956           4     369.6
        1956           5     132.7
        1956           6     313.4
        1956           7     197.9
        1956           8     226.2
        1956           9     131.7
        1956          10     171.9
        1956          11      90.4
        1956          12     125.4
        1957           1       3.8
        1957           2      63.1
        1957           3      71.2
        1957           4      43.4
        1957           5     178.1
        1957           6      93.2
        1957           7      90.4
        1957           8      95.5
        1957           9      54.1
        1957          10     148.1
        1957          11      92.5
        1957          12      65.5
        1958           1      27.4
        1958           2     283.0
        1958           3      65.3
        1958           4      41.3
        1958           5     175.8
        1958           6      38.6
        1958           7     187.4
        1958           8      96.0
        1958           9     103.2
        1958          10     115.0
        1958          11      89.4
        1958          12     173.5
        1959           1     125.7
        1959           2      61.3
        1959           3      99.9
        1959           4     217.2
        1959           5     147.7
        1959           6      55.8
        1959           7     159.4
        1959           8     141.0
        1959           9      59.2
        1959          10     103.6
        1959          11      46.1
        1959          12     120.7
        1960           1      21.6
        1960           2     188.0
        1960           3      85.0
        1960           4     127.5
        1960           5     134.1
        1960           6     164.7
        1960           7     137.5
        1960           8      84.9
        1960           9     268.5
        1960          10      84.5
        1960          11      82.5
        1960          12      96.8
        1961           1     111.8
        1961           2      74.7
        1961           3      52.6
        1961           4      94.4
        1961           5     147.0
        1961           6     300.4
        1961           7     210.2
        1961           8     218.2
        1961           9     142.5
        1961          10     195.2
        1961          11      44.3
        1961          12      25.8
        1962           1      34.1
        1962           2      44.8
        1962           3     127.8
        1962           4     127.2
        1962           5     218.7
        1962           6     178.3
        1962           7     154.0
        1962           8     156.7
        1962           9     113.7
        1962          10     203.7
        1962          11     109.4
        1962          12      95.9
        1963           1      91.5
        1963           2      99.9
        1963           3      97.8
        1963           4      87.1
        1963           5      70.1
        1963           6     138.2
        1963           7     127.0
        1963           8      92.8
        1963           9      72.0
        1963          10      23.8
        1963          11      74.0
        1963          12      75.6
        1964           1      73.8
        1964           2      36.6
        1964           3      89.9
        1964           4      46.0
        1964           5     228.6
        1964           6     112.5
        1964           7     208.2
        1964           8     196.7
        1964           9     137.5
        1964          10     140.0
        1964          11      51.4
        1964          12     141.4
        1965           1     140.2
        1965           2     127.9
        1965           3      88.9
        1965           4     116.3
        1965           5     106.7
        1965           6     132.7
        1965           7     158.8
        1965           8     320.6
        1965           9      36.5
        1965          10      75.2
        1965          11      82.0
        1965          12     108.6
        1966           1     112.5
        1966           2     185.3
        1966           3      82.3
        1966           4      78.3
        1966           5     144.4
        1966           6     153.3
        1966           7     135.2
        1966           8      88.5
        1966           9     112.2
        1966          10      47.1
        1966          11     116.4
        1966          12      83.2
        1967           1     114.4
        1967           2     244.5
        1967           3     103.8
        1967           4      75.9
        1967           5      57.6
        1967           6      63.8
        1967           7      65.6
        1967           8     113.0
        1967           9      94.8
        1967          10      14.1
        1967          11     210.8
        1967          12     100.5
        1968           1      34.3
        1968           2      51.0
        1968           3      66.9
        1968           4     275.5
        1968           5     179.0
        1968           6     193.5
        1968           7     116.2
        1968           8     152.5
        1968           9      81.2
        1968          10     104.2
        1968          11      67.9
        1968          12     134.6
        1969           1      99.3
        1969           2     181.2
        1969           3      16.7
        1969           4     128.1
        1969           5     140.2
        1969           6     117.7
        1969           7      91.5
        1969           8     148.2
        1969           9     123.6
        1969          10      26.7
        1969          11      55.9
        1969          12     162.9
        1970           1      37.2
        1970           2      29.0
        1970           3     126.7
        1970           4      80.7
        1970           5     163.3
        1970           6     141.0
        1970           7     171.0
        1970           8     227.7
        1970           9     138.5
        1970          10     119.4
        1970          11     110.3
        1970          12      33.4
